name,abv_level
Cherry Doppelbock,med
Tropical Saison,med
Beach Patrol,med
Nuit Serpent,low
Paris,high
The Grand Army,med
Acidulated Trip,med
Root Stock,high
Mind Games,low
Sous Chef,high
Dubbelicious,med
Psychopomp,med
Fat Paczki,high
Earth-Like Planets,high
Ski Patrol,med
Viking Ice Hole,med
Rye Porter,med
Wizard Burial Ground,high
Smoky Wheat,med
BRIPA,med
Mela,med
W.I.P.A Snappa,med
Pepper in the Rye,med
Moe Lasses',med
Pumpkin Tart,high
Undertaker,high
Undertaker (2014),high
Coq D'Or,low
North French,med
Agent a Deux,med
Belgian Wit,low
Pothole Stout,med
Tree Bucket,high
Le Flaneur Ale,high
Maize & Blueberry,med
Trebuchet Double IPA,high
Contemplation,med
Black Rabbit,low
Zaison,high
Vivant Tripel,high
Tart Side of the Moon,high
Big Red Coq,med
Hubris Quadrupel Anniversary Ale,high
Plow Horse Belgian Style Imperial Stout,high
Escoffier Bretta Ale,high
Contemplation (2012),med
Vivant Belgian Style Imperial Stout (2012),high
Big Red Coq (2012),med
Zaison (2012),high
Vivant Tripel (2012),high
Trebuchet Double IPA (2012),high
Kludde,high
Farm Hand,med
Solitude,med
Triomphe,med
Tampa Pale Ale,high
Orange Grove Wheat Ale,high
Broad Brook Ale,med
Northern Lights Amber Ale,low
Polar Pale Ale,med
Chugach Session Ale,low
Fairweather IPA,med
East India Pale Ale,high
Brooklyn Summer Ale,low
East India Pale Ale,high
Brooklyn Summer Ale (2011),low
Brooklyn Lager (16 oz.),med
Brooklyn Lager (12 oz.),med
Tour de Nez Belgian IPA (Current),high
Roler Bock (Current),high
Black Adder IBA (Current),high
Very Noddy Lager (Current),high
Tule Duck Red Ale (Current),med
Original Orange Blossom Ale (Current),med
Black Noddy Lager (Current),med
Cleveland Beer Week 2013,med
Painted Turtle,low
1836,med
Summer's Wit,med
More Cowbell,high
Wrath of Pele,med
Black Beer'd,high
Mr. Tea,high
Pale Alement,med
Hopkick Dropkick,high
Kreamed Corn,med
Coconoats,med
Joey Wheat,high
3:33 Black IPA,high
MCA,high
Pale Alement,med
Couch Select Lager,low
Mucho Aloha Hawaiian Pale Ale,med
Heinnieweisse Weissebier,low
Snapperhead IPA,high
Moo Thunder Stout,low
Porkslap Pale Ale,low
Blackbeard,high
Rye Knot,med
Dead Arm,med
32°/50° Kölsch ,low
HopArt,high
Boy King,high
Gran Sport,med
Horny Toad Cerveza,med
Native Amber,med
F5 IPA,high
Native Amber (2013),med
Horny Toad Cerveza (2013),med
Hopportunity Knocks IPA,high
Pilot Rock Porter,med
Caldera Pale Ale,med
Lawnmower Lager,low
Ashland Amber Ale (2009),med
Caldera IPA (2009),med
Caldera IPA (2007),med
Caldera Pale Ale (2010),med
Caldera Pale Ale (2009),med
Caldera Pale Ale (2005),med
Caldera Pale Ale (2007),med
Caldera Pale Ale (2011),med
Ashland Amber Ale,med
Caldera IPA,med
Remain in Light,low
Flower Child (2014),med
THP White (2006),high
THP Amber (2006),high
THP Light (2006),high
THP Dark (2006),high
Imperial Pumpkin Stout,high
Dead-Eye DIPA,high
Fisherman's IPA,med
Fisherman's Pils,med
Fisherman's Brew,med
Cape Cod Red,med
Beach Blonde,low
Dark Voyage Black IPA (2013),med
Wisconsin Amber,med
Lake House,low
Ghost Ship White IPA,med
Lake House,low
Mutiny IPA,med
Wisconsin Amber (1998),med
Island Wheat,low
Wisconsin Amber (2013),med
U.S. Pale Ale,low
Supper Club Lager,high
Carolina Lighthouse (2007),low
Carolina Blonde (2006),low
Carolina Blonde Light (2005),low
Santa's Secret,med
Flagship IPA,med
Sky Blue Golden Ale,med
Epitome,high
Monkey Chased the Weasel,low
077XX,high
Boat Beer,low
Granny Smith Hard Apple Cider,high
Dry Hard Apple Cider,high
Farmer Ted's Cream Ale,med
Firewater India Pale Ale,med
White Zombie Ale,low
King Winterbolt Winter Ale,high
White Zombie Ale,low
Firewater India Pale Ale,med
Farmer Ted's Farmhouse Cream Ale,med
Whitecap Wit,low
Seiche Scottish Ale,high
Peanut Butter Jelly Time,med
King Coconut,med
Gone A-Rye,high
Special Release,high
Dankosaurus,high
Scruffy's Smoked Alt,med
Elliott's Phoned Home Pale Ale,med
The Lawn Ranger,low
All American Blonde Ale,low
All American Red Ale,low
Main St. Virginia Ale,low
Chin Music Amber Lager,low
Main St. Virginia Ale,low
Ray Ray’s Pale Ale,med
Chai Ale,med
Lucky Day IPA,high
Terrace Hill Double IPA,high
Catch 23,high
Stickin' In My Rye,high
Black Me Stout,med
Killer Kolsch,low
Missile IPA,high
Enlighten,low
Ale Cider,med
Pail Ale,med
Englishman,low
8 Barrel,high
Oktoberfest,med
IPA #11,med
Blood Orange Honey,med
Lighthouse Amber,med
Bay of Bengal Double IPA (2014),high
Churchkey Pilsner Style Beer,low
First Press,low
Magic Apple,low
Cubano Espresso,med
Operation Homefront,med
Wandering Pelican,high
Sugar Plum,med
Oktoberfest,med
Puppy's Breath Porter,med
Happening Now,low
Hopped on the High Seas (Hop #529),high
Hopped on the High Seas (Calypso),high
Wiregrass Post-Prohibition Ale,med
Dry-Hopped On The High Seas Caribbean-Style IPA,high
Hopped on the High Seas (Citra),high
Hopped on the High Seas (Ahtanum),high
Gwar Beer,med
Tropical Heatwave,med
Humidor Series India Pale Ale,high
Jai Alai IPA Aged on White Oak,high
José Martí American Porter,high
