name,abv_level
Milk Mustachio Stout,med
Farmer's Tan Red Ale,med
Triangle India Pale Ale,med
Triangle White Ale,low
Triangle Belgian Golden Ale,high
Troegenator,high
Nugget Nectar,high
Sunshine Pils,low
Troegenator Doublebock,high
Perpetual IPA,high
Greenville Pale Ale,med
Hoppy Boy,med
Cow Creek,med
Chupahopra,high
Twisted X,med
Day Hike Session,low
Trailhead ISA,low
Immersion Amber,med
Evo IPA,med
Presidential Pils,low
Evolutionary IPA (2012),med
Persnickety Pale,med
SoDo Brown Ale,med
Immersion Amber Ale (2011),med
Evolutionary IPA (2011),med
Trailhead India Style Session Ale (2011),low
Panorama Wheat Ale,low
Wobble,med
Night Cat,med
Night Cat (2014),med
Dog Days Lager,med
Sidekick Extra Pale Ale,med
Atom Smasher,high
Testudo,low
Hobnob B & B Pale Ale,med
Cane and Ebel,high
Outlaw IPA (2015),med
The Gilded Age,low
No Limits Hefeweizen,low
Honeyspot Road White IPA,med
Road 2 Ruin Double IPA,high
Workers Comp Saison,low
Ol' Factory Pils,low
PUNK'N,low
Yard Sale Winter Lager,low
Trader Session IPA,low
Hop Nosh IPA,high
SUM'R,low
Organic Baba Black Lager,low
Hop Notch IPA (2013),high
Cutthroat Pale Ale,low
WYLD Extra Pale Ale,low
Pilsner Ukiah,med
The Green Room,med
Humbucker Helles,low
Uncle John's Apple Cherry Cider,med
Uncle John's Apricot Apple Cider,med
Draught Hard Apple Cider,med
Scotty K NA,low
Bacon Brown Ale,high
Golden State Ale,med
Baltic Porter,high
Siamese twin,high
Double Duckpin,high
Old Pro,low
Duckpin Pale Ale,med
Balt Altbier,med
Campside Session IPA,low
Upland Wheat Ale,low
Dragonfly IPA,med
Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,high
Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,high
Lee Hill Series Vol. 2 - Wild Saison,high
Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,high
Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,high
Blood Orange Saison,med
Thai Style White IPA,med
Ferus Fluxus Wild Belgian Pale Ale,high
Upslope Imperial India Pale Ale,high
Upslope Christmas Ale,high
Upslope Pumpkin Ale,high
Upslope Belgian Style Pale Ale,high
Upslope Foreign Style Stout,high
Top Rope Mexican-style Craft Lager,low
Upslope Craft Lager,low
Upslope Brown Ale,high
Upslope Pale Ale,med
Upslope India Pale Ale,high
Common Sense Kentucky Common Ale,med
Upstate I.P.W.,med
Squatters Full Suspension Pale Ale,low
Squatters Hop Rising Double IPA,high
Devastator Double Bock,high
Wasatch Ghostrider White IPA,med
Wasatch Ghostrider White IPA (2014),med
Wasatch Apricot Hefeweizen,low
Squatters Hop Rising Double IPA (2014),high
Squatters Full Suspension Pale Ale,low
Nunica Pine,high
Ginger Peach,high
Totally Roasted,high
Blue Gold,high
Hard Apple,high
Nitro Can Coffee Stout,med
Voodoo Love Child,high
White Magick of the Sun,high
Wynona's Big Brown Ale,high
Gran Met,high
Good Vibes IPA,high
Pilzilla,high
Wachusett Light IPA,low
Green Monsta IPA,med
Wachusett IPA,med
Strawberry White,low
Larry Imperial IPA,high
Wachusett Summer,low
Country Pale Ale,med
Wachusett Light IPA (2013),low
Pumpkan,med
Wachusett Blueberry Ale,low
Green Monsta IPA,med
T-6 Red Ale (2004),low
Self Starter,med
Ermal's,med
10 Ton,high
Flyin' Rye,high
Christmas Ale,high
Pay It Forward Cocoa Porter,high
West Sixth Amber Ale,med
West Sixth IPA,high
One Claw,med
Westbrook Gose,low
White Thai,low
Westbrook IPA,high
Westfield Octoberfest,med
Pop's Old Fashioned Lager,med
Charlie in the Rye,med
Royal Lager,high
Rip Van Winkle (Current),high
O’Malley’s Stout,high
O’Malley’s IPA,high
O’Malley’s Irish Style Cream Ale,high
L'il Lucy's Hot Pepper Ale,low
Drop Kick Ale,med
Raspberry Berliner Weisse,med
Hop Session,low
Blueberry Berliner Weisse,med
Berliner Weisse,med
Super G IPA,med
Hefe Lemon,low
Hefe Black,low
Widmer Brothers Hefeweizen,low
Hop Slayer Double IPA,high
Pumpkin Ale,low
Big Bowl Blonde Ale,low
Phat Chance,med
Hop Slayer Double IPA (2011),high
Hop Slayer Double IPA (2011),high
Wild Onion Summer Wit,low
Jack Stout,med
Wild Onion Pumpkin Ale (2010),low
Paddy Pale Ale,med
Blonde Hunny,high
Wild Wolf Wee Heavy Scottish Style Ale,med
Wild Wolf American Pilsner,low
Alpha Ale,med
Mystical Stout,med
Bodacious Bock,high
Ambitious Lager,low
Wyoming Pale Ale,high
Wind River Blonde Ale,low
Ace IPA,high
P-51 Porter,high
#001 Golden Amber Lager,med
#002 American I.P.A.,high
#003 Brown & Robust Porter,med
#004 Session I.P.A.,low
Tarasque,med
Ananda India Pale Ale,med
Tiny Bomb,low
Train Hopper,med
Edward’s Portly Brown,low
Troopers Alley IPA,med
Wolverine Premium Lager,low
Woodchuck Amber Hard Cider,low
4000 Footer IPA,med
Summer Brew,low
Be Hoppy IPA,med
Worthy IPA,high
Easy Day Kolsch,low
Lights Out Vanilla Cream Extra Stout,high
Worthy IPA (2013),high
Worthy Pale,med
Patty's Chile Beer,low
Colorojo Imperial Red Ale,high
Wynkoop Pumpkin Ale,med
Rocky Mountain Oyster Stout,high
Belgorado,high
Rail Yard Ale,med
B3K Black Lager,med
Silverback Pale Ale,med
Rail Yard Ale (2009),med
